Location,Price Tier
Addison      ,4
Addison Roast     ,3
Alamo Ranch     ,6
Alamo Ranch Roast    ,5
Albany      ,5
Albuquerque      ,5
Allen      ,5
Allen Roast     ,5
Allentown      ,5
Alliance      ,5
Alliance Roast     ,5
Anaheim Hills     ,5
Anaheim Hills Roast    ,5
Arbor Walk     ,5
Arbor Walk Roast    ,5
Arcadia      ,5
Arden Fair     ,5
Arlington      ,5
Arlington Roast     ,5
Aurora      ,5
Avon      ,5
Avon Roast     ,5
Bakersfield      ,5
Bakersfield Roast     ,5
Balboa      ,5
Baton Rouge     ,5
Baton Rouge Roast    ,5
Beavercreek      ,5
Beavercreek Roast     ,5
Bloomington      ,5
Bloomington Roast     ,5
Boulder 29th Street    ,5
Bowie      ,5
Brea      ,5
Brea Roast     ,5
Brentwood      ,5
Brooks City Base    ,5
Brooks City Base Roast   ,5
Burbank      ,5
Canton      ,5
Canton Roast     ,5
Carlsbad      ,5
Carlsbad Roast     ,5
Cary      ,5
Cedar Park     ,5
Cedar Park Roast    ,5
Centennial      ,5
Century City     ,5
Cerritos      ,5
Cerritos Roast     ,5
Chandler      ,5
Chandler Ray Rd.    ,5
Chandler Ray Rd. Roast   ,5
Chandler Roast     ,5
Charlottesville      ,5
Chino Hills     ,5
Chino Hills Roast    ,5
Chula Vista     ,5
Chula Vista Roast    ,5
Citrus Park     ,5
Citrus Park Thighway    ,5
Clear Lake     ,5
Clear Lake Roast    ,5
Clearwater      ,5
Clearwater Thighway     ,5
College Station     ,5
College Station Roast    ,5
Colorado Springs     ,5
Columbia      ,5
Columbiana Station     ,5
Concord      ,5
Concord Mills     ,5
Concord Mills Roast    ,5
Coral Springs     ,5
Coral Springs Thighway    ,5
Corona      ,5
Corona Roast     ,5
Corpus Christi     ,5
Corpus Christi Roast    ,5
Cottonwood Mall     ,5
Craig Road     ,5
Craig Road Roast    ,5
Culver City     ,5
Culver City Roast    ,5
Cupertino      ,5
Dayton      ,5
Dayton Roast     ,5
Daytona      ,5
Del Amo     ,5
Del Amo Roast    ,5
Del Amo Thighway    ,5
Denton      ,5
Denton Roast     ,5
Denver West     ,5
Desert Ridge     ,5
Desert Ridge Roast    ,5
Downey      ,5
Downey Roast     ,5
Dublin      ,5
Easton Town Center    ,5
Easton Town Center Roast   ,5
El Paso     ,5
El Paso Roast    ,5
Elk Grove     ,5
Escondido      ,5
Escondido Roast     ,5
Evansville      ,5
Evansville Roast     ,5
Fairlawn Summit Mall    ,5
Fairlawn Summit Mall Roast   ,5
Florence      ,5
Florence Roast     ,5
Folsom      ,5
Fort Collins     ,5
Fort Myers     ,5
Fort Wayne     ,5
Fort Wayne Roast    ,5
Framingham      ,5
Framingham Roast     ,5
Frederick      ,5
Fredericksburg      ,5
Fredericksburg Roast     ,5
Fresno      ,5
Gainesville      ,5
Gainesville Thighway     ,5
Glendale      ,5
Goodyear      ,5
Goodyear Roast     ,5
Greenwood      ,5
Greenwood Roast     ,5
Hagerstown      ,5
Henderson      ,5
Hillsboro      ,5
Hulen Mall     ,5
Hulen Mall Roast    ,5
Huntington Beach - Beach Blvd  ,5
Huntington Beach - Main St  ,5
Huntington Beach - Main St Roast ,5
Huntsville      ,5
Huntsville Roast     ,5
Hurst      ,5
Hurst Roast     ,5
I-Drive Orlando     ,5
Irvine      ,5
Irvine Roast     ,5
Irvine Thighway     ,5
Jacksonville      ,5
Jacksonville North     ,5
Jantzen Beach     ,5
Katy      ,5
Katy Roast     ,5
Kissimmee      ,5
La Jolla     ,5
La Jolla Roast    ,5
La Mesa     ,5
La Mesa Roast    ,5
